4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Greece,Postgraduate (taught),Part-time,2021/22,North East,10.0
All,Greece,Postgraduate (taught),Part-time,2021/22,North West,45.0
All,Greece,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,25.0
All,Greece,Postgraduate (taught),Part-time,2021/22,East Midlands,10.0
All,Greece,Postgraduate (taught),Part-time,2021/22,West Midlands,30.0
All,Greece,Postgraduate (taught),Part-time,2021/22,East of England,15.0
All,Greece,Postgraduate (taught),Part-time,2021/22,London,135.0
All,Greece,Postgraduate (taught),Part-time,2021/22,South East,30.0
All,Greece,Postgraduate (taught),Part-time,2021/22,South West,20.0
All,Greece,Postgraduate (taught),Part-time,2021/22,The Open University in England,0.0
All,Greece,Postgraduate (taught),Part-time,2021/22,Wales,20.0
All,Greece,Postgraduate (taught),Part-time,2021/22,Scotland,65.0
All,Greece,Postgraduate (taught),Part-time,2021/22,Northern Ireland,5.0
All,Greece,First degree,Full-time,2021/22,North East,340.0
All,Greece,First degree,Full-time,2021/22,North West,210.0
All,Greece,First degree,Full-time,2021/22,Yorkshire and The Humber,215.0
All,Greece,First degree,Full-time,2021/22,East Midlands,170.0
All,Greece,First degree,Full-time,2021/22,West Midlands,235.0
All,Greece,First degree,Full-time,2021/22,East of England,230.0
All,Greece,First degree,Full-time,2021/22,London,950.0
All,Greece,First degree,Full-time,2021/22,South East,800.0
All,Greece,First degree,Full-time,2021/22,South West,415.0
All,Greece,First degree,Full-time,2021/22,The Open University in England,0.0
All,Greece,First degree,Full-time,2021/22,Wales,175.0
All,Greece,First degree,Full-time,2021/22,Scotland,535.0
All,Greece,First degree,Full-time,2021/22,Northern Ireland,5.0
All,Greece,First degree,Part-time,2021/22,North East,20.0
All,Greece,First degree,Part-time,2021/22,North West,5.0
All,Greece,First degree,Part-time,2021/22,Yorkshire and The Humber,5.0
All,Greece,First degree,Part-time,2021/22,East Midlands,5.0
All,Greece,First degree,Part-time,2021/22,West Midlands,10.0
All,Greece,First degree,Part-time,2021/22,East of England,10.0
All,Greece,First degree,Part-time,2021/22,London,25.0
All,Greece,First degree,Part-time,2021/22,South East,25.0
All,Greece,First degree,Part-time,2021/22,South West,10.0
All,Greece,First degree,Part-time,2021/22,The Open University in England,0.0
All,Greece,First degree,Part-time,2021/22,Wales,5.0
All,Greece,First degree,Part-time,2021/22,Scotland,5.0
All,Greece,First degree,Part-time,2021/22,Northern Ireland,0.0
All,Greece,Other undergraduate,Full-time,2021/22,North East,0.0
All,Greece,Other undergraduate,Full-time,2021/22,North West,0.0
All,Greece,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0.0
All,Greece,Other undergraduate,Full-time,2021/22,East Midlands,0.0
All,Greece,Other undergraduate,Full-time,2021/22,West Midlands,0.0
All,Greece,Other undergraduate,Full-time,2021/22,East of England,5.0
All,Greece,Other undergraduate,Full-time,2021/22,London,5.0
All,Greece,Other undergraduate,Full-time,2021/22,South East,5.0
All,Greece,Other undergraduate,Full-time,2021/22,South West,0.0
All,Greece,Other undergraduate,Full-time,2021/22,The Open University in England,0.0
All,Greece,Other undergraduate,Full-time,2021/22,Wales,0.0
All,Greece,Other undergraduate,Full-time,2021/22,Scotland,0.0
All,Greece,Other undergraduate,Full-time,2021/22,Northern Ireland,0.0
All,Greece,Other undergraduate,Part-time,2021/22,North East,0.0
All,Greece,Other undergraduate,Part-time,2021/22,North West,0.0
All,Greece,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,5.0
All,Greece,Other undergraduate,Part-time,2021/22,East Midlands,0.0
All,Greece,Other undergraduate,Part-time,2021/22,West Midlands,5.0
All,Greece,Other undergraduate,Part-time,2021/22,East of England,5.0
All,Greece,Other undergraduate,Part-time,2021/22,London,5.0
All,Greece,Other undergraduate,Part-time,2021/22,South East,0.0
All,Greece,Other undergraduate,Part-time,2021/22,South West,0.0
All,Greece,Other undergraduate,Part-time,2021/22,The Open University in England,0.0
All,Greece,Other undergraduate,Part-time,2021/22,Wales,5.0
All,Greece,Other undergraduate,Part-time,2021/22,Scotland,10.0
All,Greece,Other undergraduate,Part-time,2021/22,Northern Ireland,0.0
All,Russia,Postgraduate (research),Full-time,2021/22,North East,10.0
All,Russia,Postgraduate (research),Full-time,2021/22,North West,20.0
All,Russia,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,5.0
All,Russia,Postgraduate (research),Full-time,2021/22,East Midlands,5.0
All,Russia,Postgraduate (research),Full-time,2021/22,West Midlands,20.0
All,Russia,Postgraduate (research),Full-time,2021/22,East of England,35.0
All,Russia,Postgraduate (research),Full-time,2021/22,London,55.0
All,Russia,Postgraduate (research),Full-time,2021/22,South East,40.0
All,Russia,Postgraduate (research),Full-time,2021/22,South West,10.0
All,Russia,Postgraduate (research),Full-time,2021/22,The Open University in England,0.0
All,Russia,Postgraduate (research),Full-time,2021/22,Wales,0.0
All,Russia,Postgraduate (research),Full-time,2021/22,Scotland,20.0
All,Russia,Postgraduate (research),Full-time,2021/22,Northern Ireland,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,North East,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,North West,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,East Midlands,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,West Midlands,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,East of England,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,London,5.0
All,Russia,Postgraduate (research),Part-time,2021/22,South East,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,South West,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,The Open University in England,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,Wales,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,Scotland,0.0
All,Russia,Postgraduate (research),Part-time,2021/22,Northern Ireland,0.0
All,Russia,Postgraduate (taught),Full-time,2021/22,North East,20.0
All,Russia,Postgraduate (taught),Full-time,2021/22,North West,35.0
All,Russia,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,20.0
All,Russia,Postgraduate (taught),Full-time,2021/22,East Midlands,15.0
All,Russia,Postgraduate (taught),Full-time,2021/22,West Midlands,35.0
All,Russia,Postgraduate (taught),Full-time,2021/22,East of England,35.0
All,Russia,Postgraduate (taught),Full-time,2021/22,London,460.0
All,Russia,Postgraduate (taught),Full-time,2021/22,South East,65.0
